Unnamed: 0,Questions,Correct,A,B,C,D,Concept,Difficulty
179,"  The present ages of A and B are 42 and 36 years, respectively. After K years, the ratio of ages of B to A will be 15:17.What is value of K?",9 years,9 years,12 years,5 years,3 years,,
180,"  A father is 4 times as old as his son. 8 years hence, the ratio of fatherâ€™s age to the sonâ€™s age will be 20:7. What is the sum of their present ages?",65,50,72,68,65,,
181,  The average age of a group of 4 friends is 36 years. The youngest friend amongst them is 6 years old. What was the average age of the group at the time of the birth of the youngest friend?,40 years,36 years,38 years,32 years,40 years,,
182,  Ram is three times as old as his Sam. 2 years ago he was five times as old as Sam. What is the present age of Ram?,12 years,12 years,14 years,18 years,24 years,,
183,"  At present, the ratio between the ages of Amit and Dhiraj is 5 : 4. After 6 years, Amitâ€™s age will be 26 years. What is the age of Dhiraj at present?",16 years,12 years,16 years,19 Â½ years,21 years,,
184,"  The average age of 19 boys and the class teacher is 16 years. If the ages of the class teacher and one of the boys are excluded, the average age reduces to 15 years. What is the age of the class teacher ?",Data Inadequate,40 years,36 years,31 years,Data Inadequate,,
185,  Neha's mother was four times her age 12 years ago. She will be twice as old as Neha 12 years from now. What is the present age of Neha's mother ?,60 years,49 years,57 years,60 years,65 years,,
186,"  15 years ago, a father was three times as old as his daughter. Now the father is only twice as old as his daughter. Find the sum of the present ages of daughter and father.",90,54,65,90,108,,
187,  Ramesh's age after 16 years will be 5 times his age 4 years back. What is the present age of Ramesh?,9 years,9 years,14 years,16 years,21 years,,
188,  A number is as much greater than 36 as is less than 80. Find the number.,58,32,36,49,58,,
189,"  The present ages of three persons are in proportions 4 : 7 : 9. Eight years ago, the sum of their ages was 76. Find their present ages (in years).","20, 35, 45","8, 20, 28","12, 21, 27","20, 35, 45",None of these,,
190,   My father was 30 years of age when my sister was born. My mother was 38 years of age when I was born. My sister was 6 years of age when my brother was born who is 3 years elder to me. What was the age of my father and mother during the birth of my brother?,"36, 35","41, 36","24, 28","28, 24","36, 35",,
191,"  Age of Umesh will be 4 times the age of Reena in 6 years from today. If ages of Umesh and Mahesh are 7 times and 6 times the age of Reena respectively, what is present age of Umesh?",42 years,64 years,30 years,48 years,42 years,,
192,  The sum of the ages of 4 children born at the intervals of the 3 years each is 58 years. What is the age of the youngest child?,10 years,4 years,6 years,8 years,10 years,,
193,  Rohan was 4 times as old as his son 6 years ago. After 6 years Rohan will be twice as old as his son. What is son's present age?,12 years,10 years,12 years,14 years,18 years,,
194,"  The ratio between the present ages of A and B is 3:5 respectively. If the difference between B's present age and A's age after 4 years is 2 , what is the total of A's and B's present ages?",24 years,24 years,32 year,48 years,cannot be determined,,
195,  What will be angle between the two hands of a clock at 10.25 pm?,162.5Â°,120Â°,146.5Â°,162.5Â°,126.45Â°,,
196,  When will the clockâ€™s hands be in a straight line but pointing in opposite directions between 2 am and 3 am?,43(7/11) minutes past 2 am,43(7/11) minutes past 2 am,25(1/11) minutes before 3 am,38(7/11) minutes before 3 am,50(5/11) minutes past 2 am,,
197,"  When will be both hands of a clock at right angle, between 8pm and 9pm?",27 (3/11) minutes past 8 pm,29 (8/11) minutes past 8 pm,27 (3/11) minutes past 8 pm,25 (7/11) minutes past 8 pm,24 (5/11) minutes before 9 pm,,
198,"  At what time between 7 o'clock and 8 o'clock, will the hands of a clock be together?",38(2/11) minutes past 7 oâ€™ clock,33(5/12) minutes past 7 oâ€™ clock,38(2/11) minutes past 7 oâ€™ clock,35(7/11) minutes past 8 oâ€™ clock,32(1/11) minutes before 8 oâ€™ clock,,
199,  Jaggu set an alarm on his clock for Monday 11 am. He set his clock correctly on Sunday 1 am. He was unaware that the clock gains 20 min every 24 hours. When his alarm went off what was the actual time?,31 minutes 40 seconds past 10 am,28 minutes 20 seconds before 10 am,28 minutes 20 seconds past 11 am,31 minutes 40 seconds past 11 am,31 minutes 40 seconds past 10 am,,
200,  Ramesh sets his grandfatherâ€™s clock to the right time at 2.00 am on Thursday. But he didnâ€™t know that the clock gains 20s for every 3 hours. What will the clock indicate on Friday night 6.30 pm?,6.34.30 pm,6.32.00 pm,6.32.46 pm,6.38.56 pm,6.34.30 pm,,
201,"  At what time after 9 am, do hands of clock make a right angle?",At 32(8/11) minutes past 9 am,At 32(8/11) minutes past 9 am,At 9 am,At 3 pm,At 29(8/11) minutes before 10 am,,
202,  The minute hand and hour hand of a clock meet every 62 minutes. Does the clock gain or lose in 24 hours. And how much does it lose or gain?,78(74/11) minutes,66(5/11) minutes,72(7/11) minutes,78(74/11) minutes,56(65/11) minutes,,
203,  What angle is formed between the minutes hand and secondsâ€™ hand of clock if they are 25 minutes apart?,150Â°,135Â°,110Â°,120Â°,150Â°,,
204,  Ramesh wants to set the clock hands 8 minutes apart between 10 o'clock and 11 o'clock. What would be the time shown in the clock if he does so?,43(9/11) minutes past 10 oâ€™ clock and 3(3/11) minutes past 11 oâ€™ clock,3(3/11) minutes before 11 oâ€™ clock and 63(3/11) minutes past 10 oâ€™ clock,43(9/11) minutes past 10 oâ€™ clock and 3(3/11) minutes past 11 oâ€™ clock,43(9/11) minutes past 10 oâ€™ clock and 58(9/11) minutes before 11 oâ€™ clock,43(9/11) minutes past 10 oâ€™ clock and 3(3/11) minutes before 11 oâ€™ clock,,
205,  What is the angle between the hour and minute hand at 3:40?,130,135,130,120,125,,
206,  How many times do the hands of the clock coincide in a day?,22,22,24,20,21,,
207,  P can do a job in 15 days. In how many days can P and Q together complete the job if Q is twice as fast as P?,5 days,3 days,5 days,2 days,6 days,,
208,  P can do a work in 30 days. Q is 25% more efficient than P in completing the same work. In how many days will Q complete the work?,24 days,37.5 days,22.5 days,20 days,24 days,,
209,"  A man can do a piece of work in 4 days, but with the help of his daughter, he can do it in 3 days. In what time can his daughter do it alone?",12 days,6 Â½ days,7 days,9 Â½ days,12 days,,
210,  A car consumes 210 liters of petrol weekly. For how many days will 1470 liters of petrol be sufficient?,49,48,49,50,52,,
211,"  Raj can build a house alone in 16 days but Suraj alone can build it in 12 days. Raj and Suraj work on alternate days. If Raj works on first day, the house will be built in how many days?",13(3/4) days,12.5 days,13(3/4) days,48/7 days,24/7 days,,
212,"  If Ram and Shyam together can build a house in 10 days; Ram and Arun can build it together in 12 days and Shyam and Arun can build it in 15 days. Shyam, Ram and Arun start working together. In how many days they build the house?",8 days,6 days,4 days,8 days,12 days,,
213,  Mahesh asked 32 men to build his house in 20 days. 80% of the work got completed in just 12 days. So Mahesh removed some workers. Now how many persons does he need to complete the remaining work in decided time?,12,12,20,32,16,,
214,  A takes twice as much time as B or thrice as much time as C to finish a piece of work; working together they can finish the work in 2 days. B can do the work alone in,6 days,12 days,4 days,8 days,6 days,,
215,  A can do 1/4th part of work in 10 days and B can do 40% work in 40 days  and C can do 1/3rd of the work in 13 days. Who will complete the work first?,C,A,B,C,A and C both,,
216,"  A and B can finish a piece of work in 30 days, B and C can finish it in 15 days, C and A in 10 days. Time taken by them together to do this work is?",10 days,5 days,2(1/2) days,7(1/2) days,10 days,,
217,"  P and Q can do a work in 12 days. Q and R can do the same work in 16 days, and R and P can do it in 24 days. Find the time in which P, Q and R can finish the work together.",10(2/3) days,9(3/4) days,10 days,11(1/4) days,10(2/3) days,,
218,  P and Q together can do a work in 18 days. P alone can do the same work in 27 days. In how many days can Q alone do the same work?,54 days,54 days,36 days,45 days,9 days,,
219,  35 men can make 70 toys in 8 days by working 8 hours a day. How many days will 56 men need to make 84 toys by working 12 hours every day?,4 days,6 days,4 days,2 days,3 days,,
220,"  If 24 men can finish a work in 10 days, then find the number of days required to complete the same work by 30 men?",8 days,8 days,6 days,3 days,7.5 days,,
221,"  A can complete a work in 12 days and B can complete in 8 days. A works for 8 hours every day while B works for 10 hours every day. If A and B together start working 8 hours per day, in how many days will they complete the work?",60/11 days,8 days,60/11 days,39/12 days,15/8 days,,
222,"  When P alone does a work, he takes 25 days more than the time taken by P and Q working together to complete the work. But Q alone takes 9 days more than the time taken by P and Q working together to complete the work. In what time, P and Q together finish this work?",15 days,18 days,20 days,25 days,15 days,,
223,"  A can do a work in 3 days. B can do the same work in 6 days and C can do the same work in 7 days. If they work together, in how many days will they take to complete the work?",14/9 Days,11/10 Days,15/16 Days,14/9 Days,16/7 Days,,
224,"  Sita and Gita can do a work in 20 days and 25 days, respectively. Both begin together but after a few days, Sita leaves. Then Gita finishes the remaining work in 10 days. After how many days did Sita leave?",6(2/3) Days,6(2/3) Days,5 Days,8(1/5) Days,10(2/5) Days,,
225,"  Meena can do a piece of work in 20 days. Kumar can do it in 30 days. They start working together on the work but 10 days before the completion of the work, Kumar leaves. In how many days does the total work get completed?",16 days,20 days,12 days,6 days,16 days,,
226,"  A can build a wall in the same time in which B and C together can do it. If A and B together could do it in 25 days and C alone in 35 days, in what time could B alone do it?",175 days,175 days,100 days,90 days,None of these,,
227,  A pack of people can complete a certain amount of work in 12 days. Two times the same number of persons will complete half of the work in?,3 days,12 days,3 days,4 days,6 days,,
228,"  12 men and 18 boys working 7.5 minutes an hour complete a particular piece of work in 60 hours. If a boyâ€™s work is half as efficient as a manâ€™s work, how many boys will be needed to help 21 men to achieve twice the work in 50 hours working 9 minutes in an hour.",42,42,46,48,38,,
229,"  5/8th of a job is completed in 10 days. If a person works at the same pace, how many days will he take to complete the job?",6,4,5,6,7,,
